Symbol	28iALS_1	28iALS_2	29iALS_1	29iALS_2	30iALS_1	52iALS_1	52iALS_2	00iCTR_1	00iCTR_2	25iCTR_1_A	25iCTR_1_B	25iCTR_2	83iCTR_1	83iCTR_2
FLII	0.0	325.31	469.34	578.17	478.49	767.22	775.62	690.94	394.24	1013.68	1211.47	1395.97	915.3	602.23
ACACA	619.5	1000.54	1570.56	915.51	2397.65	1371.81	547.13	1857.08	1914.77	3006.26	3109.96	3199.4	2081.63	1605.52
GPS1	1227.53	1170.6	1351.88	1037.16	1530.34	1607.72	762.99	1086.57	1044.04	2153.15	2395.45	2127.43	1759.94	1672.8
IK	300.05	297.13	459.22	349.94	309.56	188.17	142.64	309.37	314.75	520.25	568.52	707.56	447.86	412.09
MTAP	0.0	590.63	1250.24	1100.25	1276.89	1129.64	583.12	1171.56	1052.31	1448.13	1517.33	1829.57	801.81	847.35
PRKAA1	660.02	0.0	1015.92	838.93	826.21	670.57	365.98	571.21	490.4	853.17	381.86	982.68	899.12	354.3
PPFIA1	0.0	0.0	0.0	0.0	158.25	0.0	0.0	0.0	0.0	174.71	183.72	138.16	168.61	55.93
TARDBP	1224.01	2106.99	3730.82	3925.75	3790.85	1997.36	599.09	5775.43	5349.38	5983.05	6247.08	5986.97	4182.88	3628.24
HNRNPA0	2247.74	5954.81	7546.52	7869.74	6195.06	4971.57	2850.15	8869.65	7732.14	9313.86	9453.88	7249.03	7384.85	6666.04
PAK1	0.0	29.67	43.17	53.61	0.0	0.0	0.0	71.68	71.74	40.37	56.81	29.34	41.17	24.62
AIMP2	73.37	62.16	606.44	529.29	399.85	423.76	47.37	368.83	421.0	717.5	692.52	892.09	407.83	224.19
PRDX4	2616.63	4054.38	13296.9	12929.0	9608.37	16757.6	6634.32	8757.55	7616.62	9893.95	9967.65	12483.5	13401.7	11854.1
PAK2	2569.95	3328.66	3177.42	2468.96	4158.21	3033.25	1339.23	4078.57	3434.48	5900.27	6044.61	6104.75	6655.69	4614.66
CBX3	147.3	402.04	2301.49	957.02	2469.05	840.55	196.08	3040.55	2912.62	5941.5	5662.14	9078.29	5998.5	5144.14
STK3	0.0	0.0	0.0	71.74	0.0	85.24	0.0	0.0	0.0	63.96	69.54	84.51	60.5	51.84
STX5	0.0	0.0	215.16	136.55	160.72	144.91	163.02	150.13	194.9	185.98	201.44	271.25	126.92	144.45
PSMD2	3085.55	4402.33	8285.98	7319.78	8851.23	5947.14	3042.75	7196.35	6511.79	10848.2	10412.3	16541.8	10019.5	9108.84
DNAJC3	0.0	107.32	5372.65	4027.36	3975.08	4418.11	2657.52	2944.57	2721.49	4594.46	5257.33	4981.77	969.53	563.38
SRSF9	2414.99	3892.42	5814.72	6101.77	5552.56	4003.84	1705.24	8794.62	7175.82	9216.61	9158.01	10880.9	7985.97	7710.51
SRSF5	764.44	820.51	1184.99	947.69	984.46	640.81	505.74	1286.94	1014.5	1267.02	1272.07	1479.97	1156.31	925.6
SRSF6	564.91	933.88	2227.81	2352.01	2378.04	1658.52	683.83	2496.92	2503.53	2978.19	2173.41	5371.13	3590.07	3196.17
MAD2L1	0.0	0.0	68.77	88.81	104.35	62.2	0.0	167.87	203.19	122.98	117.15	186.73	156.08	155.6
TRIM28	11392.0	22938.0	39430.7	37370.3	37321.8	21597.2	10692.6	35092.9	35715.4	74179.7	74276.7	68560.0	53674.6	43934.1
G3BP1	1551.26	1339.4	3304.67	2669.03	2420.93	2122.94	1535.42	1919.95	1619.47	3193.03	3189.85	3559.4	2555.13	3435.96
PTK7	1256.21	2846.64	29416.0	30328.0	11799.7	13555.9	10130.9	6208.57	5636.3	13519.8	13830.6	19041.1	5305.98	4845.66
PABPC4	3253.02	3823.95	5278.31	4825.18	3870.04	5169.75	4135.04	6428.84	5361.21	3757.88	3836.17	5188.15	2882.95	2873.28
